run_id,weather_index,scenario,fire_number,fire_year,fire_cause,ignition_lat,ignition_lon,cell_id
167,1,404_P90_20180820_24H_PREVAILING,167,,,49.55199575256197,-117.4849420860843,180539
168,1,404_P90_20180820_24H_PREVAILING,168,,,49.56092676687244,-117.48328438712491,157043
169,1,404_P90_20180820_24H_PREVAILING,169,,,49.569857640616505,-117.48162604572181,132835
170,1,404_P90_20180820_24H_PREVAILING,170,,,49.578788373942565,-117.47996706150329,109339
171,1,404_P90_20180820_24H_PREVAILING,171,,,49.58771896699894,-117.47830743409733,85843
172,1,404_P90_20180820_24H_PREVAILING,172,,,49.596649419934245,-117.47664716313163,62347
173,1,404_P90_20180820_24H_PREVAILING,173,,,49.461599458824786,-117.48779780356578,419091
174,1,404_P90_20180820_24H_PREVAILING,174,,,49.47053169255475,-117.48614390084981,393459
175,1,404_P90_20180820_24H_PREVAILING,175,,,49.47946378414301,-117.48448935841284,370676
176,1,404_P90_20180820_24H_PREVAILING,176,,,49.48839573373738,-117.4828341758855,347180
177,1,404_P90_20180820_24H_PREVAILING,177,,,49.497327541485745,-117.48117835289803,322972
178,1,404_P90_20180820_24H_PREVAILING,178,,,49.506259207536054,-117.47952188908046,299476
179,1,404_P90_20180820_24H_PREVAILING,179,,,49.515190732036295,-117.4778647840625,275268
180,1,404_P90_20180820_24H_PREVAILING,180,,,49.5241221151344,-117.47620703747361,251772
181,1,404_P90_20180820_24H_PREVAILING,181,,,49.533053356978634,-117.47454864894291,228276
182,1,404_P90_20180820_24H_PREVAILING,182,,,49.54198445771688,-117.47288961809932,204780
183,1,404_P90_20180820_24H_PREVAILING,183,,,49.55091541749748,-117.47122994457143,180572
184,1,404_P90_20180820_24H_PREVAILING,184,,,49.55984623646858,-117.4695696279875,157076
185,1,404_P90_20180820_24H_PREVAILING,185,,,49.56877691477851,-117.46790866797556,133580
186,1,404_P90_20180820_24H_PREVAILING,186,,,49.57770745257553,-117.46624706416338,109372
187,1,404_P90_20180820_24H_PREVAILING,187,,,49.586637850008096,-117.46458481617834,85876
188,1,404_P90_20180820_24H_PREVAILING,188,,,49.46051934342503,-117.47411242363367,418413
189,1,404_P90_20180820_24H_PREVAILING,189,,,49.46945138246001,-117.47245591347532,393492
190,1,404_P90_20180820_24H_PREVAILING,190,,,49.47838327925896,-117.47079876261739,370710
191,1,404_P90_20180820_24H_PREVAILING,191,,,49.48731503396974,-117.46914097068995,347214
192,1,404_P90_20180820_24H_PREVAILING,192,,,49.496246646740126,-117.46748253732274,323005
193,1,404_P90_20180820_24H_PREVAILING,193,,,49.5051781177179,-117.46582346214522,299510
194,1,404_P90_20180820_24H_PREVAILING,194,,,49.51410944705112,-117.46416374478659,275301
195,1,404_P90_20180820_24H_PREVAILING,195,,,49.52304063488765,-117.46250338487573,251805
196,1,404_P90_20180820_24H_PREVAILING,196,,,49.53197168137555,-117.46084238204125,228310
197,1,404_P90_20180820_24H_PREVAILING,197,,,49.54090258666279,-117.45918073591149,204814
198,1,404_P90_20180820_24H_PREVAILING,198,,,49.54983335089762,-117.4575184461145,180605
199,1,404_P90_20180820_24H_PREVAILING,199,,,49.558763974228135,-117.45585551227802,157110
200,1,404_P90_20180820_24H_PREVAILING,200,,,49.56769445680259,-117.45419193402952,132902
201,1,404_P90_20180820_24H_PREVAILING,201,,,49.57662479876916,-117.45252771099622,109406
202,1,404_P90_20180820_24H_PREVAILING,202,,,49.585555000276216,-117.45086284280501,85909
203,1,404_P90_20180820_24H_PREVAILING,203,,,49.46836934364737,-117.45876856680033,394239
204,1,404_P90_20180820_24H_PREVAILING,204,,,49.47730104535722,-117.4571088078914,370743
205,1,404_P90_20180820_24H_PREVAILING,205,,,49.486232604884314,-117.45544840693412,346535
206,1,404_P90_20180820_24H_PREVAILING,206,,,49.49516402237648,-117.45378736355771,323039
207,1,404_P90_20180820_24H_PREVAILING,207,,,49.50409529798145,-117.45212567739108,299543
208,1,404_P90_20180820_24H_PREVAILING,208,,,49.51302643184717,-117.45046334806285,275335
209,1,404_P90_20180820_24H_PREVAILING,209,,,49.52195742412151,-117.44880037520142,251839
210,1,404_P90_20180820_24H_PREVAILING,210,,,49.53088827495241,-117.44713675843481,228343
211,1,404_P90_20180820_24H_PREVAILING,211,,,49.53981898448779,-117.44547249739085,204847
212,1,404_P90_20180820_24H_PREVAILING,212,,,49.548749552875876,-117.443807591697,180639
213,1,404_P90_20180820_24H_PREVAILING,213,,,49.55767998026465,-117.4421420409805,157143
214,1,404_P90_20180820_24H_PREVAILING,214,,,49.5666102668023,-117.44047584486829,132935
215,1,404_P90_20180820_24H_PREVAILING,215,,,49.575540412636975,-117.43880900298697,109439
216,1,404_P90_20180820_24H_PREVAILING,216,,,49.48514844659405,-117.4417564855974,350835
217,1,404_P90_20180820_24H_PREVAILING,217,,,49.4940796685079,-117.44009283258286,323072
218,1,404_P90_20180820_24H_PREVAILING,218,,,49.50301074843989,-117.43842853579845,299576
219,1,404_P90_20180820_24H_PREVAILING,219,,,49.51194168653776,-117.43676359487232,275368
220,1,404_P90_20180820_24H_PREVAILING,220,,,49.520872482949365,-117.43509800943224,251872
221,1,404_P90_20180820_24H_PREVAILING,221,,,49.5298031378226,-117.4334317791057,228376
222,1,404_P90_20180820_24H_PREVAILING,222,,,49.53873365130537,-117.43176490352005,204168
223,1,404_P90_20180820_24H_PREVAILING,223,,,49.54766402354572,-117.43009738230214,180672
224,1,404_P90_20180820_24H_PREVAILING,224,,,49.556594254691674,-117.42842921507867,157176
225,1,404_P90_20180820_24H_PREVAILING,225,,,49.56552434489129,-117.42676040147606,133680
226,1,404_P90_20180820_24H_PREVAILING,226,,,49.48406255921213,-117.42806520765885,350869
227,1,404_P90_20180820_24H_PREVAILING,227,,,49.49299358524772,-117.4263989453778,323105
228,1,404_P90_20180820_24H_PREVAILING,228,,,49.50192446920649,-117.42473203834754,299610
229,1,404_P90_20180820_24H_PREVAILING,229,,,49.5108552112362,-117.42306448619564,275402
230,1,404_P90_20180820_24H_PREVAILING,230,,,49.519785811484645,-117.42139628854939,251906
231,1,404_P90_20180820_24H_PREVAILING,231,,,49.52871627009967,-117.41972744503575,228409
232,1,404_P90_20180820_24H_PREVAILING,232,,,49.53764658722909,-117.41805795528138,204202
233,1,404_P90_20180820_24H_PREVAILING,233,,,49.5465767630209,-117.41638781891277,180705
234,1,404_P90_20180820_24H_PREVAILING,234,,,49.55550679762303,-117.41471703555598,157209
235,1,404_P90_20180820_24H_PREVAILING,235,,,49.48297494285192,-117.41437457409728,347347
236,1,404_P90_20180820_24H_PREVAILING,236,,,49.491905772709245,-117.41270570292191,323139
237,1,404_P90_20180820_24H_PREVAILING,237,,,49.500836460394765,-117.41103618601822,299643
238,1,404_P90_20180820_24H_PREVAILING,238,,,49.50976700605611,-117.4093660230133,276147
239,1,404_P90_20180820_24H_PREVAILING,239,,,49.51869740984101,-117.40769521353388,251939
240,1,404_P90_20180820_24H_PREVAILING,240,,,49.527627671897314,-117.40602375720641,228443
241,1,404_P90_20180820_24H_PREVAILING,241,,,49.536557792372804,-117.40435165365696,204235
242,1,404_P90_20180820_24H_PREVAILING,242,,,49.54548777141522,-117.40267890251148,180739
243,1,404_P90_20180820_24H_PREVAILING,243,,,49.554417609172695,-117.40100550339552,157243
244,1,404_P90_20180820_24H_PREVAILING,244,,,49.49081623100606,-117.3990131061942,324595
245,1,404_P90_20180820_24H_PREVAILING,245,,,49.49974672211832,-117.39734097979012,298965
246,1,404_P90_20180820_24H_PREVAILING,246,,,49.50867707111115,-117.39566820630546,274757
247,1,404_P90_20180820_24H_PREVAILING,247,,,49.517607278132324,-117.39399478536644,251972
248,1,404_P90_20180820_24H_PREVAILING,248,,,49.526537343329444,-117.39232071659893,228476
249,1,404_P90_20180820_24H_PREVAILING,249,,,49.535467266850354,-117.39064599962857,204268
250,1,404_P90_20180820_24H_PREVAILING,250,,,49.54439704884278,-117.38897063408065,180772
251,1,404_P90_20180820_24H_PREVAILING,251,,,49.480794523650665,-117.38699524401895,347414
252,1,404_P90_20180820_24H_PREVAILING,252,,,49.489724960251976,-117.38532115617348,318222
253,1,404_P90_20180820_24H_PREVAILING,253,,,49.49865525449104,-117.38364642064249,299710
254,1,404_P90_20180820_24H_PREVAILING,254,,,49.50758540651526,-117.38197103705191,276214
255,1,404_P90_20180820_24H_PREVAILING,255,,,49.51651541647247,-117.3802950050274,252005
256,1,404_P90_20180820_24H_PREVAILING,256,,,49.48863196056084,-117.37162985383826,323239
257,1,404_P90_20180820_24H_PREVAILING,257,,,49.49756205762688,-117.36995250955444,301166
