GRID_ID,GRID_X,GRID_Y,SPACING_M,longitude,latitude
156,1614000.0,546000.0,1000,-117.49037304654784,49.597728999487465
157,1615000.0,531000.0,1000,-117.50148382284968,49.462677845693804
158,1615000.0,532000.0,1000,-117.49983252794524,49.471610273818925
159,1615000.0,533000.0,1000,-117.4981805942987,49.48054255989647
160,1615000.0,534000.0,1000,-117.49652802154111,49.48947470407434
161,1615000.0,535000.0,1000,-117.4948748093034,49.498406706500575
162,1615000.0,536000.0,1000,-117.49322095721602,49.507338567322975
163,1615000.0,537000.0,1000,-117.49156646490928,49.516270286689625
164,1615000.0,538000.0,1000,-117.4899113320132,49.52520186474875
165,1615000.0,539000.0,1000,-117.48825555815743,49.534133301648374
166,1615000.0,540000.0,1000,-117.48659914297144,49.543064597536734
167,1615000.0,541000.0,1000,-117.4849420860843,49.55199575256197
168,1615000.0,542000.0,1000,-117.48328438712491,49.56092676687244
169,1615000.0,543000.0,1000,-117.48162604572181,49.569857640616505
170,1615000.0,544000.0,1000,-117.47996706150329,49.578788373942565
171,1615000.0,545000.0,1000,-117.47830743409733,49.58771896699894
172,1615000.0,546000.0,1000,-117.47664716313163,49.596649419934245
173,1616000.0,531000.0,1000,-117.48779780356578,49.461599458824786
174,1616000.0,532000.0,1000,-117.48614390084981,49.47053169255475
175,1616000.0,533000.0,1000,-117.48448935841284,49.47946378414301
176,1616000.0,534000.0,1000,-117.4828341758855,49.48839573373738
177,1616000.0,535000.0,1000,-117.48117835289803,49.497327541485745
178,1616000.0,536000.0,1000,-117.47952188908046,49.506259207536054
179,1616000.0,537000.0,1000,-117.4778647840625,49.515190732036295
180,1616000.0,538000.0,1000,-117.47620703747361,49.5241221151344
181,1616000.0,539000.0,1000,-117.47454864894291,49.533053356978634
182,1616000.0,540000.0,1000,-117.47288961809932,49.54198445771688
183,1616000.0,541000.0,1000,-117.47122994457143,49.55091541749748
184,1616000.0,542000.0,1000,-117.4695696279875,49.55984623646858
185,1616000.0,543000.0,1000,-117.46790866797556,49.56877691477851
186,1616000.0,544000.0,1000,-117.46624706416338,49.57770745257553
187,1616000.0,545000.0,1000,-117.46458481617834,49.586637850008096
188,1617000.0,531000.0,1000,-117.47411242363367,49.46051934342503
189,1617000.0,532000.0,1000,-117.47245591347532,49.46945138246001
190,1617000.0,533000.0,1000,-117.47079876261739,49.47838327925896
191,1617000.0,534000.0,1000,-117.46914097068995,49.48731503396974
192,1617000.0,535000.0,1000,-117.46748253732274,49.496246646740126
193,1617000.0,536000.0,1000,-117.46582346214522,49.5051781177179
194,1617000.0,537000.0,1000,-117.46416374478659,49.51410944705112
195,1617000.0,538000.0,1000,-117.46250338487573,49.52304063488765
196,1617000.0,539000.0,1000,-117.46084238204125,49.53197168137555
197,1617000.0,540000.0,1000,-117.45918073591149,49.54090258666279
198,1617000.0,541000.0,1000,-117.4575184461145,49.54983335089762
199,1617000.0,542000.0,1000,-117.45585551227802,49.558763974228135
200,1617000.0,543000.0,1000,-117.45419193402952,49.56769445680259
201,1617000.0,544000.0,1000,-117.45252771099622,49.57662479876916
